Timestamp;dealdata
23251000;53
23276000;-34
23302000;31
23328000;7
23354000;-52
23380000;-62
23406000;-9
23432000;-17
23458000;-75
23485000;22
23511000;35
23536000;-22
23562000;29
23589000;23
23615000;-31
23641000;-35
23667000;13
23692000;-113
23718000;-17
23744000;46
23770000;-3
23796000;-17
23822000;71
23848000;71
23874000;-37
23899000;23
23925000;6
23951000;-19
23976000;-81
24002000;-41
24028000;46
24054000;27
24080000;-1
24106000;-73
24132000;18
24158000;-20
24184000;-69
24209000;148
24235000;-36
24261000;12
24286000;6
24312000;37
24338000;-33
24364000;-45
24390000;-1
24416000;-43
24442000;7
24468000;-75
24494000;-10
24520000;75
24546000;31
24572000;-46
24598000;65
24625000;23
24650000;77
24676000;59
24702000;-30
24727000;61
24754000;-9
24780000;-82
24806000;-25
24832000;-25
24858000;-63
24884000;-29
24910000;53
24936000;-17
24962000;31
24988000;11
25013000;-68
25039000;-25
25064000;31
25090000;-17
25116000;3
25142000;-11
25168000;35
25193000;7
25219000;-25
25244000;67
25270000;71
25296000;78
25321000;-50
25347000;-51
25373000;-1
25398000;63
25424000;83
25450000;-61
25476000;-49
25502000;-17
25528000;54
25554000;-76
25580000;13
25606000;-47
25632000;7
25659000;28
25685000;-85
25711000;55
25737000;23
25762000;-10
25788000;129
25814000;39
25840000;-14
25866000;31
25892000;-22
25918000;-73
25944000;-17
25970000;18
25996000;-9
26022000;-2
26048000;-50
26074000;-1
26100000;15
26126000;-30
26151000;7
26177000;23
26203000;31
26229000;12
26255000;-59
26281000;11
26307000;55
26333000;-65
26359000;23
26385000;-17
26411000;11
26437000;-9
26463000;47
26489000;7
26514000;63
26540000;-49
26566000;55
26592000;-34
26618000;-17
26644000;5
26670000;-65
26696000;-10
26722000;15
26748000;6
26773000;29
26799000;20
26825000;13
26851000;-5
26877000;-9
26902000;-11
26928000;-57
26954000;-27
26980000;-1
27006000;7
27032000;15
27058000;-49
27084000;-27
27110000;-11
27136000;-5
27162000;3
27188000;7
27214000;-57
27240000;61
27265000;-73
27291000;15
27317000;59
27343000;-115
27369000;-3
27395000;3
27421000;-29
27447000;-34
27473000;-3
27499000;51
27525000;-9
27551000;4
27577000;-69
27603000;-35
27629000;7
27654000;14
27680000;-25
27706000;-25
27732000;-21
27758000;29
27784000;-9
27810000;-65
27836000;-25
27862000;14
27888000;-29
27914000;7
27940000;-17
27966000;37
27992000;-74
